kalimat,jumlah_kemunculan,text_id,annotator_id,toxicity
Pesan Berantai “RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER CHINA DISELUNDUPKAN DI PELABUHAN”,54,103-133,13,1
Pesan Berantai “RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER CHINA DISELUNDUPKAN DI PELABUHAN”,54,103-131,9,1
Pesan Berantai “RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER CHINA DISELUNDUPKAN DI PELABUHAN”,54,103-133,9,1
Pesan Berantai “RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER CHINA DISELUNDUPKAN DI PELABUHAN”,54,103-131,11,1
Pesan Berantai “RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER CHINA DISELUNDUPKAN DI PELABUHAN”,54,103-133,11,1
Pesan Berantai “RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER CHINA DISELUNDUPKAN DI PELABUHAN”,54,101-89,10,1
Pesan Berantai “RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER CHINA DISELUNDUPKAN DI PELABUHAN”,54,101-91,10,1
Pesan Berantai “RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER CHINA DISELUNDUPKAN DI PELABUHAN”,54,101-89,13,1
Pesan Berantai “RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER CHINA DISELUNDUPKAN DI PELABUHAN”,54,101-91,13,1
Pesan Berantai “RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER CHINA DISELUNDUPKAN DI PELABUHAN”,54,101-89,15,1
Pesan Berantai “RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER CHINA DISELUNDUPKAN DI PELABUHAN”,54,101-91,15,0
Pesan Berantai “RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER CHINA DISELUNDUPKAN DI PELABUHAN”,54,101-89,12,1
Pesan Berantai “RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER CHINA DISELUNDUPKAN DI PELABUHAN”,54,101-91,12,1
Pesan Berantai “RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER CHINA DISELUNDUPKAN DI PELABUHAN”,54,101-89,1,1
Pesan Berantai “RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER CHINA DISELUNDUPKAN DI PELABUHAN”,54,101-91,1,1
Pesan Berantai “RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER CHINA DISELUNDUPKAN DI PELABUHAN”,54,101-89,4,1
Pesan Berantai “RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER CHINA DISELUNDUPKAN DI PELABUHAN”,54,101-91,4,1
Pesan Berantai “RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER CHINA DISELUNDUPKAN DI PELABUHAN”,54,101-89,5,1
Pesan Berantai “RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER CHINA DISELUNDUPKAN DI PELABUHAN”,54,101-91,5,1
Pesan Berantai “RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER CHINA DISELUNDUPKAN DI PELABUHAN”,54,101-89,3,1
Pesan Berantai “RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER CHINA DISELUNDUPKAN DI PELABUHAN”,54,101-91,3,1
Pesan Berantai “RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER CHINA DISELUNDUPKAN DI PELABUHAN”,54,101-89,8,1
Pesan Berantai “RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER CHINA DISELUNDUPKAN DI PELABUHAN”,54,101-91,8,1
Pesan Berantai “RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER CHINA DISELUNDUPKAN DI PELABUHAN”,54,101-89,7,0
Pesan Berantai “RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER CHINA DISELUNDUPKAN DI PELABUHAN”,54,101-91,7,0
Pesan Berantai “RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER CHINA DISELUNDUPKAN DI PELABUHAN”,54,101-89,11,1
Pesan Berantai “RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER CHINA DISELUNDUPKAN DI PELABUHAN”,54,101-91,11,0
Pesan Berantai “RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER CHINA DISELUNDUPKAN DI PELABUHAN”,54,101-89,16,1
Pesan Berantai “RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER CHINA DISELUNDUPKAN DI PELABUHAN”,54,101-91,16,1
Pesan Berantai “RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER CHINA DISELUNDUPKAN DI PELABUHAN”,54,101-89,6,1
Pesan Berantai “RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER CHINA DISELUNDUPKAN DI PELABUHAN”,54,101-91,6,1
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,1-542,7,0
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,1-542,15,0
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,103-137,18,0
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,103-154,18,0
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,103-137,5,0
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,103-154,5,0
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,103-137,8,0
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,103-154,8,0
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,103-137,7,0
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,103-154,7,0
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,103-137,12,0
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,103-154,12,0
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,103-137,6,1
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,103-154,6,0
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,103-137,3,1
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,103-154,3,0
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,103-137,2,1
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,103-154,2,0
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,103-137,1,0
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,103-154,1,0
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,103-137,15,0
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,103-154,15,1
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,103-137,13,1
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,103-154,13,1
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,103-137,9,1
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,103-154,9,0
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,103-137,11,1
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,103-154,11,1
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,101-95,10,1
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,101-95,13,1
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,101-95,15,1
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,101-95,12,1
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,101-95,1,0
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,101-95,4,1
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,101-95,5,1
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,101-95,3,1
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,101-95,8,0
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,101-95,7,0
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,101-95,11,1
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,101-95,16,0
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,101-95,6,1
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,102-86,8,0
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,102-86,13,0
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,102-86,7,0
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,102-86,11,1
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,102-86,15,0
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,102-86,3,0
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,102-86,12,0
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,102-86,2,1
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,102-86,5,0
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,102-86,1,0
Australia Paksa Indonesia Sewakan Pangkalan Militernya Untuk Serang China,52,102-86,10,0
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,1-1023,10,0
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,1-1023,18,1
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,103-142,18,0
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,103-164,18,0
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,103-142,5,0
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,103-164,5,0
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,103-142,8,1
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,103-164,8,1
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,103-142,7,0
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,103-164,7,0
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,103-142,12,0
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,103-164,12,0
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,103-142,6,1
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,103-164,6,0
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,103-142,3,0
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,103-164,3,0
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,103-142,2,0
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,103-164,2,0
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,103-142,1,1
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,103-164,1,1
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,103-142,15,1
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,103-164,15,1
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,103-142,13,1
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,103-164,13,0
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,103-142,9,1
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,103-164,9,0
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,103-142,11,1
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,103-164,11,1
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,101-100,10,1
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,101-100,13,1
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,101-100,15,1
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,101-100,12,1
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,101-100,1,1
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,101-100,4,1
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,101-100,5,1
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,101-100,3,1
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,101-100,8,1
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,101-100,7,0
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,101-100,11,1
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,101-100,16,1
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,101-100,6,1
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,102-96,8,1
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,102-96,13,0
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,102-96,7,0
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,102-96,11,0
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,102-96,15,1
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,102-96,3,0
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,102-96,12,0
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,102-96,2,1
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,102-96,5,0
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,102-96,1,1
Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,52,102-96,10,0
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,1-1544,10,0
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,1-1544,18,0
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,103-45,18,0
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,103-125,18,0
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,103-45,5,1
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,103-125,5,1
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,103-45,8,0
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,103-125,8,0
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,103-45,7,0
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,103-125,7,0
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,103-45,12,0
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,103-125,12,0
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,103-45,6,0
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,103-125,6,0
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,103-45,3,0
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,103-125,3,0
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,103-45,2,1
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,103-125,2,1
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,103-45,1,0
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,103-125,1,0
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,103-45,15,1
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,103-125,15,1
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,103-45,13,0
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,103-125,13,1
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,103-45,9,0
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,103-125,9,0
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,103-45,11,1
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,103-125,11,1
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,101-83,10,1
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,101-83,13,1
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,101-83,15,1
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,101-83,12,1
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,101-83,1,0
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,101-83,4,1
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,101-83,5,1
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,101-83,3,0
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,101-83,8,0
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,101-83,7,0
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,101-83,11,0
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,101-83,16,1
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,101-83,6,1
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,102-74,8,0
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,102-74,13,0
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,102-74,7,0
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,102-74,11,1
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,102-74,15,1
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,102-74,3,0
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,102-74,12,0
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,102-74,2,0
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,102-74,5,1
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,102-74,1,0
WEF Perintahkan Tulis Ulang Alkitab Gunakan AI,52,102-74,10,1
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,1-1556,10,0
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,1-1556,18,0
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,103-138,18,0
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,103-158,18,0
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,103-138,5,0
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,103-158,5,0
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,103-138,8,1
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,103-158,8,1
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,103-138,7,0
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,103-158,7,0
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,103-138,12,0
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,103-158,12,0
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,103-138,6,0
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,103-158,6,0
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,103-138,3,0
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,103-158,3,0
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,103-138,2,0
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,103-158,2,0
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,103-138,1,0
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,103-158,1,0
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,103-138,15,0
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,103-158,15,0
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,103-138,13,1
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,103-158,13,1
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,103-138,9,1
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,103-158,9,0
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,103-138,11,1
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,103-158,11,1
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,101-96,10,1
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,101-96,13,1
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,101-96,15,0
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,101-96,12,1
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,101-96,1,1
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,101-96,4,1
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,101-96,5,1
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,101-96,3,0
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,101-96,8,1
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,101-96,7,0
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,101-96,11,1
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,101-96,16,0
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,101-96,6,1
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,102-90,8,1
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,102-90,13,0
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,102-90,7,0
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,102-90,11,1
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,102-90,15,1
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,102-90,3,0
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,102-90,12,1
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,102-90,2,1
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,102-90,5,0
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,102-90,1,0
JOKOWI SIAPKAN PERANG MELAWAN RAKYAT MELAYU,52,102-90,10,0
CAPRES SEBELAH PANIK KETAKUTANDUET GANJAR PRANOWO DAN MAHFUD MD RESMI MAJU PILPRES 2024…,52,1-1614,10,0
CAPRES SEBELAH PANIK KETAKUTANDUET GANJAR PRANOWO DAN MAHFUD MD RESMI MAJU PILPRES 2024…,52,1-1614,18,0
CAPRES SEBELAH PANIK KETAKUTANDUET GANJAR PRANOWO DAN MAHFUD MD RESMI MAJU PILPRES 2024…,52,103-141,18,0
CAPRES SEBELAH PANIK KETAKUTANDUET GANJAR PRANOWO DAN MAHFUD MD RESMI MAJU PILPRES 2024…,52,103-163,18,0
